Nielson Bob, Wartburg, hc, [1991, 1995]
Nielson Bob, WisconsinEau Claire, hc, [1996, 1998]
Nielson Bob, MinnesotaDuluth, hc, [1999, 2003]
Nielson Bob, MinnesotaDuluth, hc, [2008, 2012]
Nielson Bob, Western Illinois, hc, [2013, -1]
Niumatalolo Ken, Hawaii (GA), ga, [1990, 1992]
Niumatalolo Ken, Hawaii (assistant), ga, [1992, 1994]
Niumatalolo Ken, Navy (assistant), ga, [1995, 1996]
Niumatalolo Ken, Navy (OC), oc, [1997, 1998]
Niumatalolo Ken, UNLV (assistant), ga, [1999, 2001]
Niumatalolo Ken, Navy (OC), oc, [2002, 2007]
Niumatalolo Ken, Navy, hc, [2007, -1]
Nix Buddy, Chattanooga, hc, [1984, 1992]
Nix Patrick, Jacksonville State (assistant), ga, [1996, 1998]
Nix Patrick, Henderson State, hc, [1999, 2000]
Nix Patrick, Samford (WR), wr, [2001, 2001]
Nix Patrick, Georgia Tech (RB/QB/OC), rb, [2002, 2006]
Nix Patrick, Miami (FL) (OC), oc, [2007, 2008]
Nix Patrick, Charleston Southern (WR), wr, [2010, 2012]
Nord Gary, Louisville (TE), hc, [1981, 1984]
Nord Gary, Louisville (RB), rb, [1985, 1986]
Nord Gary, Louisville (WR), wr, [1987, 1988]
Nord Gary, Louisville (OC/QB), oc, [1989, 1994]
Nord Gary, Oklahoma (OC), oc, [1995, 1995]
Nord Gary, Pittsburgh (WR), wr, [1996, 1996]
Nord Gary, UTEP (OC), oc, [1997, 1999]
Nord Gary, UTEP, hc, [2000, 2003]
Nord Gary, Florida Atlantic (QB), qb, [2004, 2004]
Nord Gary, Florida Atlantic (OC/QB), oc, [2005, 2008]
Nord Gary, Purdue (AHC,OC,QB), hc, [2009, 2012]
Novak Joe, Miami (OH) (assistant), ga, [1974, 1976]
Novak Joe, Illinois (assistant), ga, [1977, 1979]
Novak Joe, Northern Illinois (assistant), ga, [1980, 1983]
Novak Joe, Indiana (assistant), ga, [1984, 1995]
Novak Joe, Northern Illinois, hc, [1996, 2007]
Nunnely Wayne, Valley HS (NV) (assistant), ga, [1975, 1975]
Nunnely Wayne, UNLV (GA), ga, [1976, 1976]
Nunnely Wayne, Cal Poly Pomona (assistant), ga, [1977, 1978]
Nunnely Wayne, Cal State Fullerton (DL), dl, [1979, 1979]
Nunnely Wayne, Pacific (CA) (RB), rb, [1980, 1981]
Nunnely Wayne, UNLV (RB), rb, [1982, 1985]
Nunnely Wayne, UNLV, hc, [1986, 1989]
Nunnely Wayne, USC (RB), rb, [1991, 1992]
