Hill Fitz, Arkadelphia HS (assistant), ga, [1987, 1987]
Hill Fitz, Northwestern State (GA), ga, [1988, 1988]
Hill Fitz, Arkansas (GA), ga, [1989, 1989]
Hill Fitz, Northwestern State (QB/WR), qb, [1990, 1990]
Hill Fitz, Arkansas (volunteer), hc, [1990, 1991]
Hill Fitz, Utah State (WR), wr, [1992, 1992]
Hill Fitz, Arkansas (WR), wr, [1992, 1997]
Hill Fitz, Arkansas (WR/RC), wr, [1998, 1998]
Hill Fitz, Arkansas (asst. HC/WR/RC), hc, [1999, 2000]
Hill Fitz, San Jose State, hc, [2001, 2004]
Hill Pat, LA Valley College (OL), ol, [1974, 1976]
Hill Pat, Utah (OL/RC), ol, [1977, 1980]
Hill Pat, UNLV (OC/OL/RC), oc, [1981, 1982]
Hill Pat, Calgary Stampeders (OL/RC), ol, [1983, 1983]
Hill Pat, Fresno State (OL/RC), ol, [1984, 1989]
Hill Pat, Arizona (OC/OL), oc, [1990, 1991]
Hill Pat, Cleveland Browns (TE/OL), hc, [1992, 1995]
Hill Pat, Baltimore Ravens (TE/OL), hc, [1996, 1996]
Hill Pat, Fresno State, hc, [1997, 2011]
Hill Pat, Atlanta Falcons (OL), ol, [2012, 2013]
Hilles Jim, Ball State University (DC/LB), dc, [1972, 1977]
Hilles Jim, Wisconsin (DC/LB), dc, [1978, 1985]
Hilles Jim, Wisconsin, hc, [1986, 1986]
Hilles Jim, Kent State (assistant), ga, [1987, 1987]
Hilles Jim, Kansas (DC), dc, [1988, 1990]
Hilles Jim, Toronto Argonauts (DL), dl, [1991, 1993]
Hilles Jim, Edmonton Eskimos (DL), dl, [1997, 1997]
Hilles Jim, Amsterdam Admirals (assistant), ga, [1998, 2000]
Hilles Jim, Los Angeles Xtreme (DC), dc, [2001, -1]
Hilyer Jim, Mississippi State (Asst), hc, [1963, 1967]
Hilyer Jim, Auburn (Asst), hc, [1968, 1973]
Hilyer Jim, Washington Redskins (Asst), hc, [1974, 1976]
Hilyer Jim, Auburn (Asst), hc, [1977, 1981]
Hilyer Jim, Birmingham Stallions (Asst), hc, [1982, 1985]
Hilyer Jim, UAB, hc, [1991, 1994]
