Id,PageRank,CoachName
1271,4.38E-04,corum gene
6031,4.33E-04,stewart bill
2502,4.33E-04,gunn david
4880,4.33E-04,patterson pat
3426,4.32E-04,kezirian ed
3472,4.19E-04,kingsbury kliff
4898,4.19E-04,peacock ronnie
6136,4.19E-04,surace bob
4858,4.19E-04,parrish stan
4480,4.19E-04,morgan karl a
6760,4.19E-04,widenhofer woody
6153,4.19E-04,swank bob
1587,4.19E-04,dickerson jr ron
2782,4.19E-04,hendrickson mark
4030,4.19E-04,matsakis manny
4831,4.19E-04,parady jim
902,4.19E-04,cannon kirby
5934,4.19E-04,speckman mark
811,4.19E-04,burns keith
1837,4.19E-04,ellerson rich
3745,4.19E-04,lewis monty
1535,4.19E-04,delaney mick
5239,4.19E-04,reho gary
845,4.19E-04,cabral brian
4840,4.19E-04,parker dennis
2553,4.19E-04,hall skip
527,4.19E-04,blakeney larry
6284,4.19E-04,thompson greg
1938,4.19E-04,fanara steve
6372,4.19E-04,troth paul
6172,4.19E-04,swepson jason
3277,4.19E-04,jones phil
5343,4.19E-04,roberts dave
1676,4.19E-04,douds dennis denny
1854,4.19E-04,ellwood frank
6814,4.19E-04,williams tom
4980,4.19E-04,pflugrad robin
2236,4.19E-04,garrett dan
6176,4.19E-04,swisher joel
6096,4.19E-04,stripling steve
3900,4.19E-04,maddox robert
5925,4.19E-04,spangler tommy
2227,4.19E-04,garfinkle eddie
5441,4.19E-04,ross patrick
254,4.19E-04,baldwin beau
5758,4.19E-04,shuck jim
6669,4.19E-04,wells matt
2353,4.19E-04,glenn joe
2928,4.19E-04,holliday john doc
6294,4.19E-04,thomsen chris
6450,4.19E-04,vangorder brian
2116,4.19E-04,fouts jack
5070,4.19E-04,pough oliver buddy
6181,4.19E-04,sypult jim
6563,4.19E-04,walsh tim
6127,4.19E-04,sullivan mike
262,4.19E-04,ballard matt
241,4.19E-04,bailiff david
5133,4.19E-04,purtill jim
3864,4.19E-04,lynch bill
4422,4.19E-04,molnar charley
1063,4.19E-04,cignetti curt
3851,4.19E-04,luginbill al
2004,4.19E-04,filkovski jeff
292,4.19E-04,barlow george
6310,4.19E-04,thurmond chris
2768,4.19E-04,helton clay
6346,4.19E-04,totten willie satellite
5581,4.19E-04,schaetzle marty
2276,4.19E-04,genyk jeff
2832,4.19E-04,hickman todd
410,4.19E-04,bell kerwin
2857,4.19E-04,hill fitz
5107,4.19E-04,priore chuck
2463,4.19E-04,grieb mark
